;Produced by Yue Chen, @LANL, on Jul  3, 2018
;======> All Rights Reserved; Please do not redistribute without author"permission <=====       
;
;Data used as inputs for forecasting models: OMNI data between 20130220 and 20160831
;Columns: S/N, Time (days in hr, counted from 20130220 00:00:00), Dst(nT), upstream solar wind speed (km/s), upstream solar wind proton density
;

;format (I5, 3x, f15.4, 3e15.2)

  S/N              Time            Dst      S/W speed     S/W p+ den
    1            0.1875      -3.50e+00       3.52e+02       9.00e+00
    2            0.3958      -3.50e+00       3.86e+02       6.95e+00
    3            0.6042      -1.85e+01       3.90e+02       6.00e+00
    4            0.8125      -1.30e+01       3.84e+02       6.60e+00
    5            1.0208      -1.20e+01       4.13e+02       9.20e+00
    6            1.2292      -5.50e+00       4.10e+02       8.90e+00
    7            1.4375       5.50e+00       4.02e+02       9.45e+00
    8            1.6458      -5.50e+00       3.88e+02       8.30e+00
    9            1.8542      -1.35e+01       3.92e+02       8.45e+00
   10            2.0625      -2.25e+01       3.90e+02       6.85e+00
   11            2.2708      -1.10e+01       3.90e+02       5.80e+00
   12            2.4792      -7.50e+00       3.88e+02       6.20e+00
   13            2.6875      -2.25e+01       3.90e+02       5.15e+00
   14            2.8958      -1.95e+01       3.88e+02       5.00e+00
   15            3.1042      -3.10e+01       3.66e+02       6.05e+00
   16            3.3125      -1.00e+01       3.60e+02       5.35e+00
   17            3.5208      -1.15e+01       3.76e+02       5.40e+00
   18            3.7292      -1.35e+01       3.76e+02       5.70e+00
   19            3.9375      -2.10e+01       3.63e+02       5.80e+00
   20            4.1458      -2.05e+01       3.52e+02       5.15e+00
   21            4.3542      -8.00e+00       3.40e+02       6.40e+00
   22            4.5625      -7.50e+00       3.38e+02       4.75e+00
   23            4.7708      -9.50e+00       3.21e+02       4.90e+00
   24            4.9792      -7.50e+00       3.15e+02       5.90e+00
   25            5.1875       5.00e-01       3.26e+02       8.55e+00
   26            5.3958       1.50e+01       3.32e+02       1.52e+01
   27            5.6042       1.40e+01       3.38e+02       1.51e+01
   28            5.8125       1.70e+01       3.49e+02       2.15e+01
   29            6.0208       1.00e+00       3.47e+02       1.28e+01
   30            6.2292       9.50e+00       3.39e+02       1.20e+01
   31            6.4375       1.30e+01       3.25e+02       1.01e+01
   32            6.6458      -6.00e+00       3.14e+02       1.03e+01
   33            6.8542      -1.35e+01       3.13e+02       7.30e+00
   34            7.0625      -3.00e+00       3.01e+02       9.15e+00
   35            7.2708       5.00e+00       3.20e+02       1.43e+01
   36            7.4792       8.50e+00       3.20e+02       1.40e+01
   37            7.6875       7.50e+00       3.30e+02       8.65e+00
   38            7.8958       2.00e+00       3.37e+02       1.00e+01
   39            8.1042       4.00e+00       3.26e+02       1.71e+01
   40            8.3125       8.50e+00       3.26e+02       1.41e+01
   41            8.5208      -1.00e+00       3.21e+02       1.49e+01
   42            8.7292       8.50e+00       3.40e+02       1.53e+01
   43            8.9375      -1.25e+01       3.77e+02       1.46e+01
   44            9.1458      -2.00e+01       3.98e+02       8.25e+00
   45            9.3542      -2.70e+01       4.75e+02       9.15e+00
   46            9.5625      -3.10e+01       5.58e+02       1.10e+01
   47            9.7708      -3.90e+01       6.16e+02       4.55e+00
   48            9.9792      -4.30e+01       6.18e+02       3.05e+00
   49           10.1875      -2.95e+01       6.03e+02       2.80e+00
   50           10.3958      -1.90e+01       5.96e+02       2.35e+00
   51           10.6042      -2.50e+01       5.06e+02       3.35e+00
   52           10.8125      -2.20e+01       5.16e+02       4.05e+00
   53           11.0208      -2.15e+01       5.01e+02       2.80e+00
   54           11.2292      -1.95e+01       5.02e+02       2.70e+00
   55           11.4375      -1.40e+01       4.66e+02       2.75e+00
   56           11.6458      -1.60e+01       4.34e+02       2.70e+00
   57           11.8542      -2.15e+01       4.56e+02       2.55e+00
   58           12.0625      -3.05e+01       4.50e+02       2.35e+00
   59           12.2708      -1.75e+01       4.67e+02       2.65e+00
