;Produced by Yue Chen, @LANL, on Jul  3, 2018 - Lshell selection performed by Rafael Pires de Lima, on August 12, 2020
;======> All Rights Reserved; Please do not redistribute without author"permission <=====       
;
;Data to be compared to model forecast results: Radial distributions of 1MeV electrons observed by RBSP-a between 20130220 and 20160831
;Columns: S/N, Time (days in hr, counted from 20130220 00:00:00), e- fluxes at L1/L2, .../Ln
;L values are shown in the top row

;format (I5, 3x, f10.4, 43e10.2)

  S/N         Time       4.00      4.10      4.20  
    1       0.1875   1.78e+00  2.59e+00  4.96e+00  
    2       0.3958   1.25e+00  1.95e+00  3.51e+00  
    3       0.6042   8.84e-01  1.46e+00  2.49e+00  
    4       0.8125   1.15e+00  1.83e+00  3.38e+00  
    5       1.0208   1.17e+00  1.91e+00  3.47e+00  
    6       1.2292   1.14e+00  1.82e+00  3.02e+00  
    7       1.4375   1.61e+00  2.39e+00  4.38e+00  
    8       1.6458   1.35e+00  3.59e+00  5.68e+00  
    9       1.8542   1.13e+00  1.87e+00  3.00e+00  
   10       2.0625   9.16e-01  1.43e+00  2.36e+00  
   11       2.2708   8.61e-01  1.53e+00  2.20e+00  
   12       2.4792   9.46e-01  1.48e+00  2.29e+00  
   13       2.6875   1.02e+00  1.60e+00  2.91e+00  
   14       2.8958   7.99e-01  1.16e+00  1.95e+00  
   15       3.1042   7.32e-01  9.64e-01  1.40e+00  
   16       3.3125   8.86e-01  1.42e+00  2.20e+00  
   17       3.5208   8.57e-01  1.39e+00  2.42e+00  
   18       3.7292   8.29e-01  1.29e+00  2.17e+00  
   19       3.9375   6.94e-01  1.01e+00  1.70e+00  
   20       4.1458   5.84e-01  1.02e+00  1.55e+00  
   21       4.3542   8.75e-01  1.36e+00  2.31e+00  
   22       4.5625   9.50e-01  1.39e+00  2.45e+00  
   23       4.7708   6.48e-01  1.02e+00  1.52e+00  
   24       4.9792   7.32e-01  1.16e+00  1.78e+00  
   25       5.1875   8.00e-01  1.18e+00  1.92e+00  
   26       5.3958   8.92e-01  1.48e+00  2.30e+00  
   27       5.6042   9.94e-01  1.86e+00  3.33e+00  
   28       5.8125   1.08e+00  2.17e+00  3.84e+00  
   29       6.0208   1.14e+00  1.91e+00  3.31e+00  
   30       6.2292   1.12e+00  2.03e+00  3.68e+00  
   31       6.4375   1.30e+00  2.17e+00  3.60e+00  
   32       6.6458   7.82e-01  1.38e+00  2.18e+00  
   33       6.8542   9.08e-01  1.55e+00  2.50e+00  
   34       7.0625   8.14e-01  1.26e+00  2.05e+00  
   35       7.2708   9.92e-01  1.61e+00  2.73e+00  
   36       7.4792   1.21e+00  2.04e+00  3.63e+00  
   37       7.6875   1.02e+00  1.74e+00  2.80e+00  
   38       7.8958   1.02e+00  1.79e+00  3.41e+00  
